id,town,address,video,,,
010300052,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VІІ-МО СУ""КУЗМАН ШАПКАРЕВ"", УЛ.""ИЛИНДЕН"" №13",https://evideo.bg/pe202410/01.html#10300052,,,010300052
010300053,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІV-ТО ОСН.У-ЩЕ""ДИМЧО ДЕБЕЛЯНОВ"", УЛ.""ОСОГОВО"" №9",https://evideo.bg/pe202410/01.html#10300053,,,010300053
010300054,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІV-ТО ОСН.У-ЩЕ""ДИМЧО ДЕБЕЛЯНОВ"", УЛ.""ОСОГОВО"" №9",https://evideo.bg/pe202410/01.html#10300054,,,010300054
010300055,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІV-ТО ОСН.У-ЩЕ""ДИМЧО ДЕБЕЛЯНОВ"", УЛ.""ОСОГОВО"" №9",https://evideo.bg/pe202410/01.html#10300055,,,010300055
010300056,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІV-ТО ОСН.У-ЩЕ""ДИМЧО ДЕБЕЛЯНОВ"", УЛ.""ОСОГОВО"" №9",https://evideo.bg/pe202410/01.html#10300056,,,010300056
010300057,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІV-ТО ОСН.У-ЩЕ""ДИМЧО ДЕБЕЛЯНОВ"", УЛ.""ОСОГОВО"" №9",https://evideo.bg/pe202410/01.html#10300057,,,010300057
010300058,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІV-ТО ОСН.У-ЩЕ""ДИМЧО ДЕБЕЛЯНОВ"", УЛ.""ОСОГОВО"" №9",https://evideo.bg/pe202410/01.html#10300058,,,010300058
010300059,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ДЕТСКА ГРАДИНА ""УСМИВКА"", УЛ.""ОСВОБОЖДЕНИЕ"" №03",https://evideo.bg/pe202410/01.html#10300059,,,010300059
010300060,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ДЕТСКА ГРАДИНА ""УСМИВКА"", УЛ.""ОСВОБОЖДЕНИЕ"" №03",https://evideo.bg/pe202410/01.html#10300060,,,010300060
010300061,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ДЕТСКА ГРАДИНА ""УСМИВКА"", УЛ.""ОСВОБОЖДЕНИЕ"" №03",https://evideo.bg/pe202410/01.html#10300061,,,010300061
010300062,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, VI-ТО СУ""ИВАН ВАЗОВ"",УЛ.""ЯНЕ САНДАНСКИ"" №001",https://evideo.bg/pe202410/01.html#10300062,,,010300062
